Disease_Name,Crop,Severity,Leaf_Color,Spot_Size,Spot_Pattern,Temperature,Humidity,Affected_Area_Percent,Disease_ID,Season
Late_Blight,Tomato,Severe,Black,Large,Irregular,19.815438732843674,95.60774413212555,77.49449161177503,7,Winter
Late_Blight,Tomato,Severe,Gray_Black,Large,Irregular,19.440398159142585,95.69538815623416,73.38747558605007,7,Winter
Black_Rot,Grape,Severe,Black,Large,Circular,26.268932347587526,88.25188322988339,60.43502354825412,18,Monsoon
Bacterial_Spot,Tomato,High,Dark_Brown,Small,Circular,30.707628179551385,88.73296521230066,40.577485871712625,8,Summer
Healthy,Rice,None,Green,None,None,28.0,75.0,0.0,3,Monsoon
Healthy,Tomato,None,Dark_Green,None,None,26.0,68.0,0.0,3,Monsoon
Mosaic_Virus,Tomato,Medium,Yellow_Green,None,Mosaic,28.48347386072785,79.37674772586035,39.7208650655751,13,Summer
Healthy,Grape,None,Dark_Green,None,None,25.0,68.0,0.0,3,Monsoon
Esca_Black_Measles,Grape,Severe,Brown_Black,Large,Irregular,31.3625261465183,77.01420235178999,66.2330869434343,20,Summer
Healthy,Tomato,None,Green,None,None,25.0,70.0,0.0,3,Monsoon
Healthy,Rice,None,Dark_Green,None,None,27.0,70.0,0.0,3,Monsoon
Brown_Spot,Rice,Medium,Brown,Small,Circular,27.927332207914468,84.4589344793182,27.504742604291124,0,Monsoon
Healthy,Rice,None,Green,None,None,28.0,75.0,0.0,3,Monsoon
Brown_Spot,Rice,Medium,Brown,Small,Circular,29.0,88.0,30.0,0,Summer
Healthy,Grape,None,Dark_Green,None,None,25.0,68.0,0.0,3,Monsoon
Leaf_Blight,Grape,Medium,Brown,Medium,Irregular,25.88669717123406,82.12464071669191,38.40958965580991,21,Monsoon
Black_Rot,Grape,Severe,Black,Large,Circular,26.30130256365476,89.1998267983197,64.49633786774089,18,Monsoon
Early_Blight,Tomato,Medium,Dark_Brown,Medium,Concentric,26.0,80.0,35.0,6,Monsoon
Target_Spot,Tomato,Medium,Brown,Medium,Target,28.025520156869117,81.07639380989578,26.844843215953784,11,Summer
Common_Rust,Corn,Medium,Brown,Small,Pustules,22.0,75.0,35.0,15,Monsoon
Brown_Rust,Wheat,High,Orange,Small,Pustules,22.344847189526753,76.4227528434003,45.02610154090433,4,Monsoon
Late_Blight,Tomato,Severe,Black,Large,Irregular,19.244199383620153,96.60250957513013,71.03140689049167,7,Winter
Yellow_Leaf_Curl_Virus,Tomato,High,Yellow,None,Curled,32.232989037247116,73.9508586284739,47.99657331523316,12,Summer
Neck_Blast,Rice,Severe,Dark_Gray,Large,Irregular,26.10909114318481,94.06072600877613,65.43830142309731,2,Monsoon
Healthy,Grape,None,Dark_Green,None,None,25.0,68.0,0.0,3,Monsoon
Healthy,Tomato,None,Green,None,None,25.0,70.0,0.0,3,Monsoon
Leaf_Blight,Grape,Medium,Brown,Medium,Irregular,25.628854024561846,79.58604153367699,37.71951933805372,21,Monsoon
Esca_Black_Measles,Grape,Severe,Brown_Black,Large,Irregular,32.0,78.0,65.0,20,Summer
Leaf_Blast,Rice,High,Gray,Large,Diamond,24.62959906015983,95.37467050952702,52.21111808772254,1,Monsoon
Common_Rust,Corn,High,Orange_Brown,Medium,Pustules,23.974510647671067,76.07723568865686,54.62980467369863,15,Monsoon
Healthy,Apple,None,Dark_Green,None,None,21.0,68.0,0.0,3,Monsoon
Brown_Rust,Wheat,High,Orange,Small,Pustules,21.831013458943332,72.89532857438087,45.61724993842808,4,Monsoon
Northern_Leaf_Blight,Corn,High,Gray_Green,Large,Elongated,24.106826390369587,92.92683702579276,56.69654202876359,16,Monsoon
Early_Blight,Tomato,Medium,Brown,Medium,Concentric,24.482169280589652,82.34340248049767,27.62776873302128,6,Monsoon
Healthy,Rice,None,Dark_Green,None,None,27.0,70.0,0.0,3,Monsoon
Leaf_Blast,Rice,High,White_Gray,Large,Diamond,26.895070178557358,97.47518654340912,59.59837073984439,1,Monsoon
Healthy,Rice,None,Dark_Green,None,None,27.0,70.0,0.0,3,Monsoon
Healthy,Potato,None,Dark_Green,None,None,21.0,72.0,0.0,3,Monsoon
Brown_Spot,Rice,Medium,Brown,Small,Circular,27.859622587982713,89.28952790343492,26.77509893477725,0,Monsoon
Healthy,Rice,None,Green,None,None,28.0,75.0,0.0,3,Monsoon
Esca_Black_Measles,Grape,High,Yellow_Brown,Large,Irregular,29.821484875051244,72.08518590093381,51.520522473488874,20,Summer
Healthy,Apple,None,Green,None,None,20.0,65.0,0.0,3,Monsoon
Yellow_Rust,Wheat,Medium,Yellow,Small,Stripes,16.576080327982726,73.4417062463701,38.28307381292411,5,Winter
Mosaic_Virus,Tomato,Medium,Yellow_Green,None,Mosaic,27.140428486807888,77.70192301759711,44.601667093643435,13,Monsoon
Healthy,Grape,None,Green,None,None,26.0,70.0,0.0,3,Monsoon
Septoria_Leaf_Spot,Tomato,Medium,Brown,Small,Circular,26.462502710736437,80.20160591010672,39.17344330620201,10,Monsoon
Late_Blight,Tomato,Severe,Gray_Black,Large,Irregular,18.992426208185215,96.60088932235892,73.93032716283781,7,Winter
Brown_Spot,Rice,Medium,Brown,Small,Circular,27.256793092801637,88.3350839118674,28.14667794495419,0,Monsoon
Healthy,Rice,None,Green,None,None,28.0,75.0,0.0,3,Monsoon
Leaf_Blight,Grape,High,Dark_Brown,Large,Irregular,27.79669404626275,84.7902359114661,53.888803216054626,21,Monsoon
Healthy,Grape,None,Green,None,None,26.0,70.0,0.0,3,Monsoon
Late_Blight,Potato,High,Dark_Gray,Large,Irregular,18.938870196757982,85.84369742003675,60.58594840168209,7,Winter
Late_Blight,Tomato,Severe,Black,Large,Irregular,21.00849141367617,92.71391858610427,76.75335567179957,7,Monsoon
Cedar_Apple_Rust,Apple,Medium,Orange,Medium,Circular,23.99079008894483,80.76539046905546,37.23520169060904,19,Monsoon
Healthy,Rice,None,Dark_Green,None,None,27.0,70.0,0.0,3,Monsoon
Yellow_Rust,Wheat,High,Bright_Yellow,Small,Stripes,16.000108245151225,80.9784118275928,50.62969758258639,5,Winter
Healthy,Corn,None,Green,None,None,26.0,70.0,0.0,3,Monsoon
Early_Blight,Tomato,Medium,Brown,Medium,Concentric,25.14086040389678,78.41382525562238,26.642127568261444,6,Monsoon
Healthy,Grape,None,Green,None,None,26.0,70.0,0.0,3,Monsoon
Late_Blight,Potato,Severe,Gray_Black,Large,Irregular,21.334975277139336,90.36165837960394,77.86650576797612,7,Monsoon
Esca_Black_Measles,Grape,Severe,Brown_Black,Large,Irregular,33.963033598447176,75.81562981632037,62.94929528104642,20,Summer
Early_Blight,Tomato,Medium,Brown,Medium,Concentric,24.427322415730732,80.87003605592155,31.669243388362908,6,Monsoon
Brown_Spot,Rice,Medium,Brown,Small,Circular,27.275977115127098,89.57499292576608,25.55907621765103,0,Monsoon
Healthy,Corn,None,Dark_Green,None,None,25.0,68.0,0.0,3,Monsoon
Esca_Black_Measles,Grape,Severe,Brown_Black,Large,Irregular,30.87037680643017,74.55980561265864,63.68920352797616,20,Summer
Late_Blight,Tomato,Severe,Black,Large,Irregular,18.493726211476364,89.84625929523428,71.29471325618789,7,Winter
Healthy,Rice,None,Dark_Green,None,None,27.0,70.0,0.0,3,Monsoon
Cedar_Apple_Rust,Apple,Medium,Orange,Medium,Circular,23.713480871320264,76.6230653087305,35.37366330682009,19,Monsoon
Late_Blight,Potato,Severe,Gray_Black,Large,Irregular,19.031339602729307,99.18034934033936,75.35392366819543,7,Winter
Early_Blight,Potato,Medium,Brown,Medium,Concentric,24.220523919179936,75.57605890506136,30.467374648808917,6,Monsoon
Brown_Rust,Wheat,High,Orange,Small,Pustules,23.345252441769087,75.82005991153855,41.00957644421557,4,Monsoon
Healthy,Tomato,None,Green,None,None,25.0,70.0,0.0,3,Monsoon
Brown_Rust,Wheat,High,Orange,Small,Pustules,22.39892825853798,78.95468869039198,43.44616854581991,4,Monsoon
Yellow_Rust,Wheat,Medium,Yellow,Small,Stripes,17.0,78.0,35.0,5,Winter
Healthy,Wheat,None,Green,None,None,21.0,65.0,0.0,3,Monsoon
Late_Blight,Tomato,High,Dark_Gray,Large,Irregular,19.0,90.0,60.0,7,Winter
Healthy,Apple,None,Green,None,None,20.0,65.0,0.0,3,Monsoon
Late_Blight,Potato,Severe,Gray_Black,Large,Irregular,19.82700076166012,99.2725931225319,76.86177892369794,7,Winter
Healthy,Rice,None,Green,None,None,28.0,75.0,0.0,3,Monsoon
Healthy,Corn,None,Green,None,None,26.0,70.0,0.0,3,Monsoon
Apple_Scab,Apple,High,Dark_Brown,Large,Irregular,20.281136614791556,86.81029468087988,56.51728910495806,17,Monsoon
Septoria_Leaf_Spot,Tomato,Medium,Brown,Small,Circular,27.371599170005886,78.41853853321344,32.44113744294407,10,Monsoon
Early_Blight,Tomato,Medium,Dark_Brown,Medium,Concentric,27.71853323763026,83.09481980485839,35.96534082200365,6,Monsoon
Healthy,Corn,None,Dark_Green,None,None,25.0,68.0,0.0,3,Monsoon
Common_Rust,Corn,Medium,Brown,Small,Pustules,23.178816550740777,76.53178571221828,36.892166666222934,15,Monsoon
Black_Rot,Grape,Severe,Black,Large,Circular,26.803791475590312,86.23366022807717,60.325485785591304,18,Monsoon
Healthy,Rice,None,Green,None,None,28.0,75.0,0.0,3,Monsoon
Target_Spot,Tomato,Medium,Brown,Medium,Target,26.293436570086662,79.54081153233089,33.17109364615331,11,Monsoon
Leaf_Blight,Grape,Medium,Brown,Medium,Irregular,25.718909770564693,76.95796667138666,39.953887244971234,21,Monsoon
Yellow_Leaf_Curl_Virus,Tomato,High,Yellow,None,Curled,30.2363491754152,65.57681690554888,45.30225503120994,12,Summer
Neck_Blast,Rice,Severe,Dark_Gray,Large,Irregular,26.873715646744024,93.13433942041159,60.914364348286696,2,Monsoon
Bacterial_Spot,Tomato,High,Dark_Brown,Small,Circular,31.815266316987888,85.29888583671193,41.26822653676369,8,Summer
Neck_Blast,Rice,Severe,Black,Large,Irregular,24.350004958312574,93.84143801451752,61.13605432574909,2,Monsoon
Healthy,Corn,None,Dark_Green,None,None,25.0,68.0,0.0,3,Monsoon
Neck_Blast,Rice,Severe,Black,Large,Irregular,23.875008789219414,87.53244151337708,61.554723529931,2,Monsoon
Brown_Spot,Rice,Medium,Brown,Small,Circular,28.634615504377297,86.72119212092335,30.966998535779485,0,Summer
Yellow_Rust,Wheat,High,Bright_Yellow,Small,Stripes,15.795379950773523,87.75353627508676,50.69946991579563,5,Winter
Cedar_Apple_Rust,Apple,Medium,Orange,Medium,Circular,23.0,78.0,35.0,19,Monsoon
Cedar_Apple_Rust,Apple,Medium,Orange_Yellow,Small,Circular,23.61930021966094,71.50988246332932,32.77519611944769,19,Monsoon
Late_Blight,Tomato,Severe,Black,Large,Irregular,19.659948040500726,91.27890308140813,70.42584460825918,7,Winter
Healthy,Rice,None,Dark_Green,None,None,27.0,70.0,0.0,3,Monsoon
Leaf_Blight,Grape,Medium,Brown,Medium,Irregular,23.540824299389065,82.73539579618534,35.843159699034764,21,Monsoon
Brown_Rust,Wheat,Medium,Light_Brown,Small,Pustules,18.403263995101494,63.55249858188651,34.194072803179296,4,Winter
Healthy,Potato,None,Green,None,None,22.0,70.0,0.0,3,Monsoon
Cercospora_Leaf_Spot,Corn,High,Gray_Brown,Medium,Circular,29.0,88.0,45.0,14,Summer
Leaf_Blast,Rice,High,Gray,Large,Diamond,26.604226360873998,91.22335792220817,54.64807669070617,1,Monsoon
Brown_Spot,Rice,Medium,Brown,Small,Circular,28.0,85.0,25.0,0,Monsoon
Healthy,Grape,None,Dark_Green,None,None,25.0,68.0,0.0,3,Monsoon
Yellow_Rust,Wheat,Medium,Yellow,Small,Stripes,15.265858613358887,81.70193897803001,36.79276248129154,5,Winter
Early_Blight,Potato,High,Dark_Brown,Large,Concentric,27.706932419358033,80.91777619943139,45.910911866197175,6,Monsoon
Healthy,Corn,None,Dark_Green,None,None,25.0,68.0,0.0,3,Monsoon
Brown_Spot,Rice,High,Dark_Brown,Medium,Circular,30.173647185949463,90.63553839434044,40.08561660859905,0,Summer
Northern_Leaf_Blight,Corn,High,Gray_Green,Large,Elongated,25.51255647816757,90.86038820243719,53.986581310986416,16,Monsoon
Leaf_Mold,Tomato,High,Olive_Green,Medium,Fuzzy,25.583291777717942,99.8752597358202,46.5612957130801,9,Monsoon
Brown_Rust,Wheat,High,Brown_Orange,Small,Pustules,20.0,70.0,40.0,4,Monsoon
Black_Rot,Apple,Severe,Black,Large,Circular,26.52587660457357,85.78064709690032,63.54850941838839,18,Monsoon
Healthy,Potato,None,Dark_Green,None,None,21.0,72.0,0.0,3,Monsoon
Brown_Spot,Rice,High,Dark_Brown,Medium,Circular,30.197006476750467,91.05608040276655,43.549345155928236,0,Summer
Early_Blight,Tomato,High,Brown,Large,Concentric,27.834964697166534,84.76848816908333,51.60092978853093,6,Monsoon
Healthy,Apple,None,Dark_Green,None,None,21.0,68.0,0.0,3,Monsoon
Yellow_Rust,Wheat,Medium,Yellow,Small,Stripes,18.298958440045713,75.70505578043766,30.071294652163047,5,Winter
Black_Rot,Grape,Severe,Black,Large,Circular,29.170717579269724,92.37776541355028,56.63476186844201,18,Summer
Leaf_Mold,Tomato,High,Olive_Green,Medium,Fuzzy,25.374874113422628,95.50662243918919,41.18249692112774,9,Monsoon
Late_Blight,Tomato,High,Dark_Gray,Large,Irregular,18.608585904172248,89.69330870948586,62.11850780948081,7,Winter
Late_Blight,Tomato,Severe,Gray_Black,Large,Irregular,19.283483733713148,96.4647530223014,70.53921419070622,7,Winter
Black_Rot,Grape,Severe,Black,Large,Circular,29.48028308579571,87.15589256219009,62.497599651530564,18,Summer
Cercospora_Leaf_Spot,Corn,Medium,Gray,Small,Circular,26.040976878798734,86.36283989118354,28.597419170316527,14,Monsoon
Leaf_Blast,Rice,Medium,Gray,Medium,Diamond,27.531958883273894,84.49958771122036,32.42110059899462,1,Monsoon
Late_Blight,Potato,Severe,Gray_Black,Large,Irregular,20.31973327433917,95.03758268683555,82.35861697589874,7,Monsoon
Leaf_Blast,Rice,Medium,Gray,Medium,Diamond,27.0,88.0,35.0,1,Monsoon
Brown_Rust,Wheat,High,Brown_Orange,Small,Pustules,21.34916548460905,71.59367308346373,41.273718827278046,4,Monsoon
Leaf_Mold,Tomato,Medium,Yellow,Medium,Fuzzy,24.05020675961938,92.3368900164254,34.25837558861527,9,Monsoon
Brown_Rust,Wheat,High,Orange,Small,Pustules,23.854642517334536,76.9176834249858,42.73520187947447,4,Monsoon
Leaf_Mold,Tomato,High,Olive_Green,Medium,Fuzzy,25.339700228729996,95.79403445172525,43.140760466826585,9,Monsoon
Healthy,Grape,None,Dark_Green,None,None,25.0,68.0,0.0,3,Monsoon
Apple_Scab,Apple,High,Dark_Brown,Large,Irregular,20.0,90.0,55.0,17,Monsoon
Northern_Leaf_Blight,Corn,High,Gray_Green,Large,Elongated,25.2443804422745,88.80009255640041,52.26657997213289,16,Monsoon
Late_Blight,Tomato,Severe,Gray_Black,Large,Irregular,17.88621896242031,92.3185405793677,73.78111828070185,7,Winter
Healthy,Potato,None,Green,None,None,22.0,70.0,0.0,3,Monsoon
Early_Blight,Tomato,Medium,Brown,Medium,Concentric,26.505304538638104,81.3116128461229,31.1583666132289,6,Monsoon
Healthy,Potato,None,Dark_Green,None,None,21.0,72.0,0.0,3,Monsoon
Healthy,Corn,None,Green,None,None,26.0,70.0,0.0,3,Monsoon
Healthy,Corn,None,Dark_Green,None,None,25.0,68.0,0.0,3,Monsoon
Neck_Blast,Rice,Severe,Dark_Gray,Large,Irregular,25.161741165227365,92.01295153253922,61.592934576474775,2,Monsoon
Cedar_Apple_Rust,Apple,Medium,Orange,Medium,Circular,21.98777011081103,75.02873116885519,33.50562152629966,19,Monsoon
Septoria_Leaf_Spot,Tomato,Medium,Brown,Small,Circular,25.005528206355756,83.72538260143253,39.35479309721839,10,Monsoon
Cercospora_Leaf_Spot,Corn,Medium,Gray,Small,Circular,29.927006729813456,82.04509000976566,31.570211193175883,14,Summer
Leaf_Blight,Grape,Medium,Brown,Medium,Irregular,24.780581804105076,82.23708386050473,39.33659043986881,21,Monsoon
Healthy,Potato,None,Green,None,None,22.0,70.0,0.0,3,Monsoon
Healthy,Wheat,None,Green,None,None,20.0,60.0,0.0,3,Monsoon
Yellow_Rust,Wheat,High,Yellow,Small,Stripes,16.81719154281741,82.53366060721096,47.73493293943805,5,Winter
Healthy,Corn,None,Dark_Green,None,None,25.0,68.0,0.0,3,Monsoon
Late_Blight,Potato,Severe,Black,Large,Irregular,16.332875150519953,92.5472823265202,66.38172139166228,7,Winter
Cercospora_Leaf_Spot,Corn,Medium,Gray,Small,Circular,26.097952120160475,88.26907198021097,33.45979322149595,14,Monsoon
Healthy,Grape,None,Dark_Green,None,None,25.0,68.0,0.0,3,Monsoon
Healthy,Potato,None,Green,None,None,22.0,70.0,0.0,3,Monsoon
Northern_Leaf_Blight,Corn,Severe,Gray,Large,Elongated,25.350010650298316,90.43464047211641,68.7546534210273,16,Monsoon
Late_Blight,Potato,High,Dark_Gray,Large,Irregular,19.0,90.0,65.0,7,Winter
Esca_Black_Measles,Grape,High,Yellow_Brown,Large,Irregular,30.952954695964568,73.47002319013984,54.9985428797901,20,Summer
Healthy,Corn,None,Green,None,None,26.0,70.0,0.0,3,Monsoon
Brown_Rust,Wheat,Medium,Light_Brown,Small,Pustules,19.121108128994656,65.47985602950051,34.551811529949084,4,Winter
Yellow_Rust,Wheat,Medium,Yellow,Small,Stripes,17.698036337387826,80.71989932233843,38.5865798035573,5,Winter
Early_Blight,Potato,Medium,Brown,Medium,Concentric,24.851130269145305,84.38896583127487,34.69988307043378,6,Monsoon
Brown_Spot,Rice,Medium,Brown,Small,Circular,29.901318571339687,90.13834261580692,25.036412483764074,0,Summer
Healthy,Apple,None,Green,None,None,20.0,65.0,0.0,3,Monsoon
Brown_Spot,Rice,High,Dark_Brown,Medium,Circular,28.127689208813585,89.18562220439908,47.66289561302373,0,Summer
Early_Blight,Tomato,High,Brown,Large,Concentric,26.150906804532134,85.07490057601254,50.5881822464485,6,Monsoon
Leaf_Blight,Grape,Medium,Brown,Medium,Irregular,23.502051542909626,76.49116494015873,33.30952223237851,21,Monsoon
Neck_Blast,Rice,Severe,Black,Large,Irregular,23.559193415160323,91.74479011054541,64.45915348582601,2,Monsoon
Mosaic_Virus,Tomato,Medium,Yellow_Green,None,Mosaic,29.687900544308377,76.20560719582735,38.638435605332575,13,Summer
Early_Blight,Potato,Medium,Brown,Medium,Concentric,24.095656043222007,76.7394519655024,34.42353986092544,6,Monsoon
Black_Rot,Apple,Severe,Black,Large,Circular,26.608495869912257,80.68916908426334,66.08334215983781,18,Monsoon
Healthy,Tomato,None,Dark_Green,None,None,26.0,68.0,0.0,3,Monsoon
Healthy,Tomato,None,Green,None,None,25.0,70.0,0.0,3,Monsoon
Leaf_Blast,Rice,Medium,Gray,Medium,Diamond,25.592632308812668,85.15060566232687,37.23439214487851,1,Monsoon
Leaf_Mold,Tomato,Medium,Yellow,Medium,Fuzzy,23.690339655716826,94.05252271752435,27.129328124473354,9,Monsoon
Brown_Spot,Rice,High,Dark_Brown,Medium,Circular,29.56740619805845,90.42356559595673,40.66132922987339,0,Summer
Healthy,Apple,None,Dark_Green,None,None,21.0,68.0,0.0,3,Monsoon
Early_Blight,Potato,High,Dark_Brown,Large,Concentric,24.432548595768242,83.0579226774291,48.43158207092659,6,Monsoon
Yellow_Leaf_Curl_Virus,Tomato,High,Yellow,None,Curled,31.080273278027228,67.32909657657672,54.38818535335706,12,Summer
Leaf_Blast,Rice,High,White_Gray,Large,Diamond,25.57345708927344,91.28398019269265,58.32030305773089,1,Monsoon
Common_Rust,Corn,High,Orange_Brown,Medium,Pustules,24.0,80.0,50.0,15,Monsoon
Common_Rust,Corn,High,Orange_Brown,Medium,Pustules,22.004867002251324,80.76089743033108,49.047126082741975,15,Monsoon
Healthy,Corn,None,Green,None,None,26.0,70.0,0.0,3,Monsoon
Apple_Scab,Apple,High,Dark_Brown,Large,Irregular,21.216015212315526,88.75221499378817,55.88888001450871,17,Monsoon
Healthy,Corn,None,Dark_Green,None,None,25.0,68.0,0.0,3,Monsoon
Healthy,Wheat,None,Green,None,None,21.0,65.0,0.0,3,Monsoon
Yellow_Rust,Wheat,High,Yellow,Small,Stripes,15.689266080356829,84.25688871718859,53.89648658037049,5,Winter
Northern_Leaf_Blight,Corn,High,Gray_Green,Large,Elongated,26.158483822057057,88.69741072365862,58.706955508829374,16,Monsoon
Early_Blight,Potato,High,Dark_Brown,Large,Concentric,24.18866254671575,83.41617139261106,47.81241791672761,6,Monsoon
Northern_Leaf_Blight,Corn,Severe,Gray,Large,Elongated,27.484919509861406,92.66591250754297,65.42577037600785,16,Monsoon
Early_Blight,Tomato,High,Brown,Large,Concentric,29.93142401212947,87.49069587564345,51.35144481509644,6,Summer
Leaf_Blast,Rice,High,Gray,Large,Diamond,27.027499702098602,90.62726225913184,46.57274631802125,1,Monsoon
Brown_Rust,Wheat,Medium,Light_Brown,Small,Pustules,17.03175524479346,66.00901096991453,33.23066486188341,4,Winter
Leaf_Mold,Tomato,High,Olive_Green,Medium,Fuzzy,25.624288658540895,97.83067091672783,48.55076870078974,9,Monsoon
Early_Blight,Tomato,High,Brown,Large,Concentric,27.704912096774436,85.15319379642989,53.56886537244473,6,Monsoon
Healthy,Tomato,None,Green,None,None,25.0,70.0,0.0,3,Monsoon
Cercospora_Leaf_Spot,Corn,Medium,Gray,Small,Circular,29.15163257762182,87.36453935122401,32.05241184864901,14,Summer
Neck_Blast,Rice,Severe,Black,Large,Irregular,22.160023549830168,89.58251567374829,60.880948507508606,2,Monsoon
Black_Rot,Grape,High,Brown,Medium,Circular,26.26747073046442,80.29672344020109,45.55692577019484,18,Monsoon
Bacterial_Spot,Tomato,Medium,Brown_Yellow,Small,Circular,28.54091179055953,89.49393522796734,29.85638056444664,8,Summer
Brown_Spot,Rice,High,Dark_Brown,Medium,Circular,31.36823038408607,94.64351854214907,45.78465819604463,0,Summer
Brown_Spot,Rice,High,Dark_Brown,Medium,Circular,31.102112347904573,94.17790456586428,45.96394414593687,0,Summer
Yellow_Leaf_Curl_Virus,Tomato,High,Yellow,None,Curled,33.56077678832931,66.16319799674518,45.99199546886048,12,Summer
Neck_Blast,Rice,Severe,Dark_Gray,Large,Irregular,24.41068543799152,92.70269546864026,69.82866756940368,2,Monsoon
Late_Blight,Potato,High,Dark_Gray,Large,Irregular,17.16640902724362,88.09741997724532,69.32718059934727,7,Winter
Black_Rot,Grape,High,Brown,Medium,Circular,26.978130028359985,81.8179487897945,40.75206266329453,18,Monsoon
Late_Blight,Potato,Severe,Black,Large,Irregular,17.929117392411076,91.96988434277323,66.84592968644301,7,Winter
Black_Rot,Grape,High,Brown,Medium,Circular,25.264870678910448,89.16429974273906,49.51435371045185,18,Monsoon
Late_Blight,Tomato,Severe,Gray_Black,Large,Irregular,18.0,95.0,70.0,7,Winter
Black_Rot,Apple,High,Brown,Large,Circular,22.02674795075446,79.35241546989353,49.9220044467052,18,Monsoon
Healthy,Potato,None,Green,None,None,22.0,70.0,0.0,3,Monsoon
Healthy,Apple,None,Dark_Green,None,None,21.0,68.0,0.0,3,Monsoon
Leaf_Mold,Tomato,High,Olive_Green,Medium,Fuzzy,23.80529837265626,99.124728646919,45.73775805461671,9,Monsoon
Brown_Rust,Wheat,High,Brown_Orange,Small,Pustules,20.95936816536516,66.60096771107105,44.01854624429861,4,Monsoon
Early_Blight,Tomato,Medium,Brown,Medium,Concentric,25.0,78.0,30.0,6,Monsoon
Early_Blight,Potato,Medium,Brown,Medium,Concentric,22.78399394178567,81.09334882838051,30.533300159536857,6,Monsoon
Healthy,Corn,None,Dark_Green,None,None,25.0,68.0,0.0,3,Monsoon
Brown_Rust,Wheat,High,Brown_Orange,Small,Pustules,19.208611548010637,71.87967374162675,42.19372257337956,4,Winter
Brown_Spot,Rice,High,Dark_Brown,Medium,Circular,29.086774675373704,91.45565684656452,47.97136121248476,0,Summer
Early_Blight,Potato,Medium,Brown,Medium,Concentric,22.586431652582004,80.84425559769952,38.15628443819881,6,Monsoon
Healthy,Tomato,None,Dark_Green,None,None,26.0,68.0,0.0,3,Monsoon
Northern_Leaf_Blight,Corn,High,Gray_Green,Large,Elongated,25.0,90.0,55.0,16,Monsoon
Northern_Leaf_Blight,Corn,High,Gray_Green,Large,Elongated,25.04278235400627,85.38524027608541,52.02419495439545,16,Monsoon
Brown_Spot,Rice,Medium,Brown,Small,Circular,26.15817753225937,80.041568430585,23.671575132752952,0,Monsoon
Brown_Rust,Wheat,Medium,Light_Brown,Small,Pustules,19.280845637455002,71.17373271816535,30.425274341932006,4,Winter
