Year,Month,Crop_ID,Crop_Name,State_ID,State_Name,Rainfall,Temperature,Demand,Price_Per_Quintal,Season,Price_Category,Month_Name,Previous_Month_Price,Price_Change,Price_Change_Percent
2023,7,3,Maize,6,Gujarat,192.73,23.7,Medium,1634.44,Monsoon,Low,July,1448.03,186.41000000000008,12.87
2020,3,6,Pulses,13,Haryana,77.15,30.87,Medium,3776.34,Summer,High,March,4122.79,-346.4499999999998,-8.4
2021,8,7,Vegetables,12,Punjab,218.29,23.56,Medium,2281.86,Monsoon,Medium,August,2731.49,-449.62999999999965,-16.46
2022,5,5,Sugarcane,3,Kerala,17.57,37.86,Low,3966.36,Summer,High,May,4289.46,-323.0999999999999,-7.53
2023,11,6,Pulses,11,West Bengal,27.24,22.94,High,4353.88,Spring,Very_High,November,3583.96,769.9200000000001,21.48
2022,8,6,Pulses,8,Madhya Pradesh,342.55,24.22,Medium,3474.21,Monsoon,High,August,3942.99,-468.77999999999975,-11.89
2023,5,7,Vegetables,2,Karnataka,34.72,32.34,Medium,2808.5,Summer,Medium,May,2468.89,339.6100000000001,13.76
2023,9,5,Sugarcane,9,Uttar Pradesh,339.77,20.21,Low,3047.93,Monsoon,High,September,3408.6,-360.6700000000001,-10.58
2020,7,6,Pulses,5,Maharashtra,381.95,23.99,Low,3008.53,Monsoon,High,July,3680.19,-671.6599999999999,-18.25
2023,10,6,Pulses,4,Tamil Nadu,124.53,26.08,Medium,3822.33,Spring,High,October,4492.49,-670.1599999999999,-14.92
2024,7,4,Cotton,4,Tamil Nadu,290.31,20.14,Medium,4834.61,Monsoon,Very_High,July,5474.57,-639.96,-11.69
2020,9,8,Fruits,7,Rajasthan,236.85,31.18,Medium,3587.28,Monsoon,High,September,3304.65,282.6300000000001,8.55
2024,11,7,Vegetables,3,Kerala,51.71,26.79,Medium,2163.47,Spring,Medium,November,1968.06,195.40999999999985,9.93
2021,3,4,Cotton,13,Haryana,33.48,28.32,Medium,5130.39,Summer,Very_High,March,5067.47,62.92000000000007,1.24
2020,5,2,Wheat,3,Kerala,84.65,31.94,Low,2973.24,Summer,Medium,May,4012.47,-1039.23,-25.9
2023,9,3,Maize,3,Kerala,293.58,21.55,Medium,1913.47,Monsoon,Low,September,1892.73,20.74000000000001,1.1
2020,10,3,Maize,13,Haryana,79.71,20.66,Medium,1718.63,Spring,Low,October,1981.48,-262.8499999999999,-13.27
2024,6,7,Vegetables,9,Uttar Pradesh,284.71,28.89,Medium,2318.16,Monsoon,Medium,June,2602.01,-283.85000000000036,-10.91
2021,1,1,Rice,8,Madhya Pradesh,116.74,17.98,Medium,2787.31,Winter,Medium,January,3189.92,-402.6100000000001,-12.62
2024,9,4,Cotton,7,Rajasthan,349.91,22.22,Low,3109.24,Monsoon,High,September,3731.87,-622.6300000000001,-16.68
2021,2,8,Fruits,2,Karnataka,132.48,11.11,Medium,3870.25,Winter,High,February,4084.79,-214.53999999999996,-5.25
2023,10,4,Cotton,4,Tamil Nadu,56.93,27.99,Medium,4442.07,Spring,Very_High,October,4362.22,79.84999999999945,1.83
2024,6,6,Pulses,6,Gujarat,317.12,33.2,Medium,3057.37,Monsoon,High,June,3182.88,-125.51000000000022,-3.94
2021,7,2,Wheat,7,Rajasthan,208.99,23.42,Medium,2429.62,Monsoon,Medium,July,2404.82,24.799999999999727,1.03
2021,3,3,Maize,3,Kerala,73.54,35.92,Low,2372.11,Summer,Medium,March,2187.6,184.51000000000022,8.43
2021,4,3,Maize,10,Bihar,30.63,30.01,Medium,2213.69,Summer,Medium,April,2319.13,-105.44000000000005,-4.55
2021,4,5,Sugarcane,10,Bihar,39.94,38.16,Low,3030.87,Summer,High,April,3058.02,-27.15000000000009,-0.89
2024,11,2,Wheat,7,Rajasthan,22.97,24.0,Low,2981.77,Spring,Medium,November,2970.7,11.070000000000164,0.37
2020,5,8,Fruits,12,Punjab,90.19,36.31,Medium,4130.66,Summer,Very_High,May,4977.19,-846.5299999999997,-17.01
2023,7,8,Fruits,2,Karnataka,341.17,25.39,Medium,3544.26,Monsoon,High,July,3937.5,-393.2399999999998,-9.99
2023,2,3,Maize,8,Madhya Pradesh,21.88,12.75,High,2640.62,Winter,Medium,February,2056.24,584.3800000000001,28.42
2024,2,1,Rice,13,Haryana,119.61,24.25,Low,2736.07,Winter,Medium,February,2640.23,95.84000000000015,3.63
2022,5,2,Wheat,1,Andhra Pradesh,78.46,29.5,Low,2714.17,Summer,Medium,May,2924.79,-210.6199999999999,-7.2
2024,12,6,Pulses,13,Haryana,24.52,22.62,Medium,4374.42,Winter,Very_High,December,3519.12,855.3000000000002,24.3
2024,9,3,Maize,1,Andhra Pradesh,216.58,28.86,Medium,1878.74,Monsoon,Low,September,1993.81,-115.06999999999994,-5.77
2023,9,8,Fruits,3,Kerala,395.71,21.55,Medium,4455.67,Monsoon,Very_High,September,4339.85,115.81999999999971,2.67
2024,8,3,Maize,11,West Bengal,329.48,20.18,Medium,1474.87,Monsoon,Low,August,1600.32,-125.45000000000005,-7.84
2021,8,3,Maize,12,Punjab,380.0,20.56,Low,1424.22,Monsoon,Low,August,1843.6,-419.3799999999999,-22.75
2024,12,7,Vegetables,9,Uttar Pradesh,23.21,22.38,Medium,1833.08,Winter,Low,December,2109.85,-276.77,-13.12
2023,7,5,Sugarcane,2,Karnataka,164.26,22.85,Low,3280.31,Monsoon,High,July,3494.15,-213.84000000000015,-6.12
2022,10,7,Vegetables,10,Bihar,93.29,24.86,Medium,1856.77,Spring,Low,October,2070.05,-213.2800000000002,-10.3
2020,2,5,Sugarcane,9,Uttar Pradesh,89.83,13.05,High,3372.4,Winter,High,February,3187.51,184.88999999999987,5.8
2020,10,3,Maize,4,Tamil Nadu,64.91,29.64,Low,1610.92,Spring,Low,October,1846.24,-235.31999999999994,-12.75
2021,2,8,Fruits,5,Maharashtra,87.15,10.54,Low,4150.78,Winter,Very_High,February,4291.17,-140.39000000000033,-3.27
2020,9,4,Cotton,4,Tamil Nadu,345.79,22.02,Medium,4391.31,Monsoon,Very_High,September,4862.47,-471.15999999999985,-9.69
2022,3,4,Cotton,6,Gujarat,85.1,41.36,High,5242.8,Summer,Very_High,March,4717.41,525.3900000000003,11.14
2021,4,6,Pulses,1,Andhra Pradesh,30.79,40.01,Medium,4343.09,Summer,Very_High,April,3433.5,909.5900000000001,26.49
2021,11,2,Wheat,10,Bihar,101.78,29.39,Medium,3027.52,Spring,High,November,2957.05,70.4699999999998,2.38
2022,3,3,Maize,13,Haryana,66.11,36.21,Medium,2281.32,Summer,Medium,March,2059.05,222.26999999999998,10.79
2023,1,5,Sugarcane,4,Tamil Nadu,110.99,12.53,Medium,3687.31,Winter,High,January,3618.31,69.0,1.91
2024,2,3,Maize,13,Haryana,56.65,11.8,Medium,2726.43,Winter,Medium,February,2460.43,266.0,10.81
2023,3,7,Vegetables,1,Andhra Pradesh,64.1,36.24,Medium,2680.52,Summer,Medium,March,2805.27,-124.75,-4.45
2020,11,6,Pulses,3,Kerala,89.88,31.94,Medium,3820.04,Spring,High,November,4367.55,-547.5100000000002,-12.54
2023,7,4,Cotton,10,Bihar,364.25,25.8,High,4402.69,Monsoon,Very_High,July,4685.76,-283.0700000000006,-6.04
2022,4,2,Wheat,2,Karnataka,95.76,40.78,Medium,2423.45,Summer,Medium,April,2536.83,-113.38000000000011,-4.47
2021,5,4,Cotton,11,West Bengal,54.25,35.17,Medium,5841.36,Summer,Very_High,May,6829.81,-988.4500000000007,-14.47
2022,1,3,Maize,6,Gujarat,65.14,16.53,Medium,2011.3,Winter,Medium,January,1929.15,82.14999999999986,4.26
2024,11,2,Wheat,1,Andhra Pradesh,120.15,27.46,Medium,3089.07,Spring,High,November,3135.23,-46.159999999999854,-1.47
2023,8,3,Maize,13,Haryana,393.15,20.48,Medium,1694.12,Monsoon,Low,August,1946.99,-252.87000000000012,-12.99
2024,3,8,Fruits,5,Maharashtra,54.03,32.22,High,4796.28,Summer,Very_High,March,4200.37,595.9099999999999,14.19
2020,10,7,Vegetables,8,Madhya Pradesh,125.45,29.28,Medium,1709.05,Spring,Low,October,2026.92,-317.8700000000001,-15.68
2024,11,3,Maize,13,Haryana,61.36,25.02,Medium,1586.87,Spring,Low,November,1601.1,-14.230000000000018,-0.89
2022,1,6,Pulses,6,Gujarat,31.41,18.92,Medium,3891.47,Winter,High,January,4256.22,-364.75000000000045,-8.57
2021,5,5,Sugarcane,10,Bihar,37.92,31.1,Medium,3379.23,Summer,High,May,3030.87,348.3600000000001,11.49
2024,4,6,Pulses,3,Kerala,93.0,38.63,Medium,3669.03,Summer,High,April,3165.67,503.3600000000001,15.9
2023,6,7,Vegetables,10,Bihar,151.62,35.34,Medium,2289.41,Monsoon,Medium,June,2651.18,-361.77,-13.65
2024,1,6,Pulses,11,West Bengal,41.35,18.7,High,4435.32,Winter,Very_High,January,3138.43,1296.8899999999999,41.32
2024,11,5,Sugarcane,1,Andhra Pradesh,125.77,30.3,Low,2895.04,Spring,Medium,November,3603.22,-708.1799999999998,-19.65
2022,7,4,Cotton,3,Kerala,310.98,26.63,High,5350.87,Monsoon,Very_High,July,4178.56,1172.3099999999995,28.06
2023,10,1,Rice,8,Madhya Pradesh,49.39,22.43,Medium,2313.34,Spring,Medium,October,2251.73,61.61000000000013,2.74
2023,12,4,Cotton,8,Madhya Pradesh,139.77,19.11,High,4086.42,Winter,Very_High,December,4222.65,-136.22999999999956,-3.23
2020,11,6,Pulses,10,Bihar,113.92,21.02,Low,2775.77,Spring,Medium,November,3401.12,-625.3499999999999,-18.39
2021,12,6,Pulses,5,Maharashtra,81.36,14.17,Low,3906.44,Winter,High,December,3885.73,20.710000000000036,0.53
2022,1,1,Rice,13,Haryana,44.95,13.7,Medium,3621.36,Winter,High,January,2772.7,848.6600000000003,30.61
2023,1,1,Rice,2,Karnataka,117.79,10.79,Medium,2767.96,Winter,Medium,January,3249.01,-481.0500000000002,-14.81
2023,9,3,Maize,7,Rajasthan,316.82,23.13,Medium,1314.41,Monsoon,Low,September,1324.68,-10.269999999999982,-0.78
2023,8,8,Fruits,7,Rajasthan,271.91,21.93,Medium,3810.43,Monsoon,High,August,3434.75,375.67999999999984,10.94
2021,12,4,Cotton,3,Kerala,127.32,11.08,Medium,4402.15,Winter,Very_High,December,4728.62,-326.47000000000025,-6.9
2024,10,4,Cotton,13,Haryana,54.9,27.37,Low,3909.76,Spring,High,October,3308.5,601.2600000000002,18.17
2021,6,8,Fruits,13,Haryana,213.98,29.46,Low,3692.53,Monsoon,High,June,3566.73,125.80000000000018,3.53
2020,8,2,Wheat,6,Gujarat,234.34,20.23,Medium,2659.72,Monsoon,Medium,August,2619.68,40.039999999999964,1.53
2021,12,8,Fruits,13,Haryana,141.58,17.13,Medium,3552.19,Winter,High,December,3439.75,112.44000000000005,3.27
2020,4,6,Pulses,7,Rajasthan,37.91,34.32,Medium,3428.09,Summer,High,April,3026.58,401.5100000000002,13.27
2023,5,8,Fruits,6,Gujarat,76.26,37.61,Medium,3671.91,Summer,High,May,3589.58,82.32999999999993,2.29
2020,4,2,Wheat,10,Bihar,26.13,37.72,Low,2379.67,Summer,Medium,April,2472.06,-92.38999999999987,-3.74
2024,10,7,Vegetables,2,Karnataka,42.01,25.79,High,2413.52,Spring,Medium,October,2091.02,322.5,15.42
2020,7,6,Pulses,7,Rajasthan,377.81,29.85,High,3068.14,Monsoon,High,July,3028.82,39.31999999999971,1.3
2024,7,5,Sugarcane,7,Rajasthan,299.2,30.38,Medium,2888.91,Monsoon,Medium,July,2766.83,122.07999999999993,4.41
2022,4,7,Vegetables,3,Kerala,56.99,30.87,Medium,2682.41,Summer,Medium,April,2504.39,178.01999999999998,7.11
2021,7,3,Maize,12,Punjab,295.42,30.28,High,1808.73,Monsoon,Low,July,1708.38,100.34999999999991,5.87
2021,6,7,Vegetables,9,Uttar Pradesh,288.07,29.25,Medium,2350.55,Monsoon,Medium,June,2455.34,-104.78999999999996,-4.27
2024,10,5,Sugarcane,1,Andhra Pradesh,20.51,31.26,Low,4019.4,Spring,Very_High,October,2892.13,1127.27,38.98
2024,6,1,Rice,12,Punjab,362.51,34.83,Low,2490.28,Monsoon,Medium,June,2264.94,225.34000000000015,9.95
2020,10,6,Pulses,5,Maharashtra,119.33,27.43,Low,3054.66,Spring,High,October,3309.85,-255.19000000000005,-7.71
2022,3,2,Wheat,11,West Bengal,92.75,34.25,Medium,2897.81,Summer,Medium,March,3260.83,-363.02,-11.13
2024,1,2,Wheat,5,Maharashtra,32.92,20.91,Low,2801.24,Winter,Medium,January,2872.57,-71.33000000000038,-2.48
2023,11,7,Vegetables,11,West Bengal,97.61,30.58,Medium,1747.31,Spring,Low,November,2331.25,-583.94,-25.05
2022,9,2,Wheat,3,Kerala,164.83,21.08,Medium,3432.27,Monsoon,High,September,3651.44,-219.17000000000007,-6.0
2021,11,1,Rice,8,Madhya Pradesh,63.93,31.98,High,2617.2,Spring,Medium,November,2287.46,329.7399999999998,14.42
2024,1,4,Cotton,9,Uttar Pradesh,133.69,12.39,Medium,4062.26,Winter,Very_High,January,4951.34,-889.0799999999999,-17.96
2024,11,7,Vegetables,10,Bihar,99.32,25.37,High,1971.04,Spring,Low,November,1570.92,400.1199999999999,25.47
2023,2,8,Fruits,13,Haryana,140.02,23.1,Medium,3940.18,Winter,High,February,4197.97,-257.7900000000004,-6.14
2022,4,8,Fruits,13,Haryana,65.74,33.15,Medium,4103.37,Summer,Very_High,April,4271.86,-168.48999999999978,-3.94
2024,12,8,Fruits,1,Andhra Pradesh,139.15,21.57,Medium,3788.1,Winter,High,December,3600.28,187.8199999999997,5.22
2023,2,2,Wheat,7,Rajasthan,62.84,22.71,Medium,2447.95,Winter,Medium,February,2817.86,-369.9100000000003,-13.13
2024,12,4,Cotton,6,Gujarat,24.32,11.53,Low,3942.63,Winter,High,December,3985.36,-42.73000000000002,-1.07
2021,8,7,Vegetables,10,Bihar,379.4,30.37,Low,2052.72,Monsoon,Medium,August,2489.93,-437.21000000000004,-17.56
2022,5,7,Vegetables,4,Tamil Nadu,76.42,36.77,Low,2308.8,Summer,Medium,May,2871.69,-562.8899999999999,-19.6
2022,1,2,Wheat,10,Bihar,139.5,23.98,Medium,2461.44,Winter,Medium,January,2860.46,-399.02,-13.95
2022,7,5,Sugarcane,10,Bihar,312.97,26.07,High,3301.82,Monsoon,High,July,3401.56,-99.73999999999978,-2.93
2023,8,5,Sugarcane,3,Kerala,165.44,24.72,Medium,3786.63,Monsoon,High,August,3603.82,182.80999999999995,5.07
2022,4,3,Maize,7,Rajasthan,89.25,41.41,High,2082.0,Summer,Medium,April,2247.02,-165.01999999999998,-7.34
2022,7,2,Wheat,12,Punjab,229.54,25.81,Medium,3246.9,Monsoon,High,July,2364.81,882.0900000000001,37.3
2023,4,8,Fruits,10,Bihar,58.04,41.23,Medium,3850.19,Summer,High,April,3658.29,191.9000000000001,5.25
2020,1,3,Maize,7,Rajasthan,83.2,11.64,Medium,1957.56,Winter,Low,January,1599.57,357.99,22.38
2021,1,5,Sugarcane,13,Haryana,106.5,17.97,High,3236.9,Winter,High,January,3902.63,-665.73,-17.06
2021,5,4,Cotton,1,Andhra Pradesh,40.08,32.91,Low,5130.58,Summer,Very_High,May,5195.01,-64.43000000000029,-1.24
2021,4,6,Pulses,7,Rajasthan,67.17,36.74,Medium,3153.72,Summer,High,April,4128.29,-974.5700000000002,-23.61
2020,9,5,Sugarcane,12,Punjab,217.74,23.43,High,4019.68,Monsoon,Very_High,September,3370.01,649.6699999999996,19.28
2020,4,3,Maize,11,West Bengal,36.99,34.64,Medium,2079.06,Summer,Medium,April,2009.24,69.81999999999994,3.47
2021,5,6,Pulses,5,Maharashtra,44.94,37.51,Medium,3752.69,Summer,High,May,4505.03,-752.3399999999997,-16.7
2020,7,4,Cotton,10,Bihar,209.99,21.0,Medium,5080.02,Monsoon,Very_High,July,5150.11,-70.08999999999924,-1.36
2021,3,6,Pulses,1,Andhra Pradesh,67.62,28.56,Medium,3524.28,Summer,High,March,4359.28,-834.9999999999995,-19.15
2021,10,1,Rice,7,Rajasthan,63.51,23.83,High,2166.62,Spring,Medium,October,2025.87,140.75,6.95
2021,7,2,Wheat,6,Gujarat,389.57,30.26,Medium,2315.12,Monsoon,Medium,July,2411.79,-96.67000000000007,-4.01
2021,7,8,Fruits,5,Maharashtra,185.95,22.56,Medium,3898.78,Monsoon,High,July,3719.5,179.2800000000002,4.82
2021,12,3,Maize,1,Andhra Pradesh,55.72,18.69,Low,1741.03,Winter,Low,December,1957.07,-216.03999999999996,-11.04
2020,1,2,Wheat,6,Gujarat,101.84,10.81,Medium,3345.9,Winter,High,January,2728.46,617.44,22.63
2021,12,5,Sugarcane,1,Andhra Pradesh,95.58,24.64,High,3587.56,Winter,High,December,2916.01,671.5499999999997,23.03
2023,6,4,Cotton,11,West Bengal,245.83,36.44,Medium,4980.15,Monsoon,Very_High,June,4987.03,-6.880000000000109,-0.14
2020,5,4,Cotton,8,Madhya Pradesh,68.99,31.26,Medium,5672.53,Summer,Very_High,May,5380.13,292.39999999999964,5.43
2021,9,6,Pulses,13,Haryana,259.1,24.2,Low,3238.52,Monsoon,High,September,4315.87,-1077.35,-24.96
2020,1,4,Cotton,1,Andhra Pradesh,134.03,13.65,Low,4155.37,Winter,Very_High,January,4155.37,0.0,0.0
2021,4,8,Fruits,5,Maharashtra,64.34,41.9,High,4928.61,Summer,Very_High,April,3709.52,1219.0899999999997,32.86
2020,3,5,Sugarcane,10,Bihar,13.65,29.72,Medium,3009.56,Summer,High,March,2732.42,277.1399999999999,10.14
2023,10,7,Vegetables,1,Andhra Pradesh,23.43,26.36,High,2656.23,Spring,Medium,October,2328.16,328.07000000000016,14.09
2022,7,4,Cotton,7,Rajasthan,232.46,22.83,Medium,4814.97,Monsoon,Very_High,July,4041.91,773.0600000000004,19.13
2020,9,4,Cotton,6,Gujarat,288.18,21.38,Medium,3780.96,Monsoon,High,September,4125.57,-344.6099999999997,-8.35
2023,6,4,Cotton,10,Bihar,291.98,34.97,Low,4685.76,Monsoon,Very_High,June,5280.57,-594.8099999999995,-11.26
2020,7,6,Pulses,12,Punjab,325.7,20.5,Medium,3910.51,Monsoon,High,July,3913.44,-2.9299999999998363,-0.07
2022,4,5,Sugarcane,9,Uttar Pradesh,82.52,34.26,High,3078.88,Summer,High,April,3691.86,-612.98,-16.6
2023,8,2,Wheat,12,Punjab,237.88,27.2,Low,3127.26,Monsoon,High,August,2865.29,261.97000000000025,9.14
2023,11,2,Wheat,9,Uttar Pradesh,124.62,25.84,Medium,2781.31,Spring,Medium,November,2696.15,85.15999999999985,3.16
2022,4,8,Fruits,6,Gujarat,40.85,40.05,High,4657.74,Summer,Very_High,April,3787.1,870.6399999999999,22.99
2020,9,1,Rice,13,Haryana,310.98,26.36,High,2353.56,Monsoon,Medium,September,2549.3,-195.74000000000024,-7.68
2023,1,1,Rice,5,Maharashtra,56.5,12.32,Medium,3427.88,Winter,High,January,2708.6,719.2800000000002,26.56
2023,4,7,Vegetables,11,West Bengal,36.21,36.78,High,2629.22,Summer,Medium,April,2428.6,200.6199999999999,8.26
2023,7,5,Sugarcane,11,West Bengal,184.38,27.6,High,4107.99,Monsoon,Very_High,July,2735.27,1372.7199999999998,50.19
2022,9,7,Vegetables,11,West Bengal,314.98,22.28,Low,1721.58,Monsoon,Low,September,2006.78,-285.20000000000005,-14.21
2023,4,3,Maize,4,Tamil Nadu,41.39,29.75,Medium,2201.98,Summer,Medium,April,2594.42,-392.44000000000005,-15.13
2022,11,2,Wheat,7,Rajasthan,43.72,24.16,Medium,2708.82,Spring,Medium,November,3047.35,-338.52999999999975,-11.11
2021,3,8,Fruits,12,Punjab,55.95,38.06,Medium,4826.11,Summer,Very_High,March,5050.98,-224.8699999999999,-4.45
2023,12,3,Maize,3,Kerala,136.52,21.25,Medium,2088.09,Winter,Medium,December,1726.66,361.43000000000006,20.93
2024,1,5,Sugarcane,1,Andhra Pradesh,45.6,18.55,High,3501.58,Winter,High,January,2803.68,697.9000000000001,24.89
2022,4,7,Vegetables,5,Maharashtra,67.88,39.87,Low,2110.75,Summer,Medium,April,2952.58,-841.8299999999999,-28.51
2020,9,3,Maize,10,Bihar,293.92,21.51,Medium,1573.52,Monsoon,Low,September,1759.03,-185.51,-10.55
2023,2,2,Wheat,3,Kerala,99.21,12.74,Medium,3144.71,Winter,High,February,2765.75,378.96000000000004,13.7
2021,6,2,Wheat,8,Madhya Pradesh,242.56,39.32,High,2986.23,Monsoon,Medium,June,2762.93,223.30000000000018,8.08
2020,5,4,Cotton,6,Gujarat,51.37,36.8,Medium,5827.19,Summer,Very_High,May,4812.07,1015.1199999999999,21.1
2022,4,6,Pulses,8,Madhya Pradesh,96.66,38.65,Medium,3469.33,Summer,High,April,3741.34,-272.0100000000002,-7.27
2022,8,3,Maize,13,Haryana,176.35,21.08,Medium,1652.12,Monsoon,Low,August,1732.59,-80.47000000000003,-4.64
2021,12,1,Rice,2,Karnataka,106.96,22.48,Medium,2452.36,Winter,Medium,December,2765.79,-313.42999999999984,-11.33
2021,5,3,Maize,4,Tamil Nadu,12.0,32.72,Low,2204.89,Summer,Medium,May,2120.76,84.12999999999965,3.97
2023,10,6,Pulses,13,Haryana,121.1,22.05,Medium,3937.17,Spring,High,October,3738.54,198.6300000000001,5.31
2021,3,6,Pulses,6,Gujarat,96.54,41.67,Medium,3893.58,Summer,High,March,3167.9,725.6799999999998,22.91
2022,10,3,Maize,7,Rajasthan,97.75,30.96,Low,1222.57,Spring,Low,October,1503.68,-281.1100000000001,-18.69
2023,9,4,Cotton,5,Maharashtra,204.35,27.84,Medium,4836.77,Monsoon,Very_High,September,3683.05,1153.7200000000003,31.33
2022,5,3,Maize,10,Bihar,22.39,31.64,Low,1803.34,Summer,Low,May,2069.35,-266.01,-12.85
2022,2,7,Vegetables,4,Tamil Nadu,85.75,15.87,Medium,2287.78,Winter,Medium,February,2221.66,66.12000000000035,2.98
2023,8,7,Vegetables,3,Kerala,203.05,20.7,Medium,2888.98,Monsoon,Medium,August,2819.74,69.24000000000024,2.46
2024,2,2,Wheat,11,West Bengal,79.89,24.73,Medium,2615.97,Winter,Medium,February,2506.55,109.41999999999962,4.37
2023,9,4,Cotton,1,Andhra Pradesh,371.58,30.91,Medium,4631.75,Monsoon,Very_High,September,4826.75,-195.0,-4.04
2022,10,1,Rice,11,West Bengal,132.1,24.29,Medium,2188.84,Spring,Medium,October,2016.08,172.76000000000022,8.57
2023,4,7,Vegetables,4,Tamil Nadu,38.66,29.08,Medium,2574.6,Summer,Medium,April,2532.58,42.01999999999998,1.66
2024,3,7,Vegetables,5,Maharashtra,32.68,31.66,Medium,2324.2,Summer,Medium,March,1900.38,423.8199999999997,22.3
2020,2,2,Wheat,10,Bihar,86.95,18.03,Medium,2811.54,Winter,Medium,February,3071.83,-260.28999999999996,-8.47
2024,8,1,Rice,8,Madhya Pradesh,199.19,24.55,Medium,2315.25,Monsoon,Medium,August,2000.54,314.71000000000004,15.73
2023,9,4,Cotton,6,Gujarat,381.26,28.03,Medium,3579.14,Monsoon,High,September,4445.02,-865.8800000000006,-19.48
